"WCACROPS code","WCACROPS label","CPC21AG code","If partial"
"22","Beans, harvested green","01241.01","*"
"22","Beans, harvested green","01241.90","*"
"224","Pear","01342.01","*"
"225","Pecan nut","01379.90","*"
"228","Persimmon","01359.01","*"
"23","Beet, fodder (mangel)","01919.90","*"
"232","Plantain","01313.01","*"
"232","Plantain","01313.02","*"
"234","Pomegranate","01359.90","*"
"237","Poppy straw","01930.90","*"
"242","Pumpkin, for fodder","01919.90","*"
"243","Pyrethrum","01930.02","*"
"243","Pyrethrum","01930.03","*"
"244","Queensland nut","01379.90","*"
"245","Quince","01342.02","*"
"246","Quinine","01930.90","*"
"249","Ramie","01929.04","*"
"251","Raspberry (all varieties)","01353.01","*"
"253","Redtop","01919.90","*"
"254","Rhea","01929.04","*"
"255","Rhubarb","01219.90","*"
"257","Rose","01930.90","*"
"258","Rubber","01950.01","*"
"258","Rubber","01950.02","*"
"259","Rutabaga (swede)","01919.90","*"
"26","Beet, sugar for fodder","01919.90","*"
"261","Ryegrass seed","01919.02","*"
"264","Sainfoin","01919.90","*"
"267","Satsuma (mandarin/tangerine)","01324.01","*"
"267","Satsuma (mandarin/tangerine)","01324.02","*"
"270","Shea tree (shea butter or karite nut)","01499.01","*"
"271","Sisal","01929.05","*"
"272","Sorghum","01919.01","*"
"273","Sorghum, broom","01919.01","*"
"274","Sorghum, durra","01919.01","*"
"275","Sorghum, Guinea corn","01919.01","*"
"276","Sorghum, jowar","01919.01","*"
"277","Sorghum, sweet","01919.01","*"
"278","Sour cherry","01344.01","*"
"286","Sugar beet for fodder","01919.90","*"
"288","Sugar cane for fodder","01919.90","*"
"29","Betel nut","01379.01","*"
"291","Sunflower for fodder","01919.90","*"
"293","Sunhemp","01922.02","*"
"295","Swede for fodder","01919.90","*"
"296","Sweet corn","01290.01","*"
"300","Sweet sorghum","01919.01","*"
"301","Tallow tree","01499.04","*"
"302","Tangerine","01324.01","*"
"304","Tapioca (cassava)","01219.01","*"
"304","Tapioca (cassava)","01520.01","*"
"304","Tapioca (cassava)","01520.02","*"
"306","Tea","01620.01","*"
"306","Tea","01620.02","*"
"306","Tea","01930.04","*"
"307","Teff","01199.01","*"
"309","Timothy","01919.90","*"
"31","Blackberries of various species","01353.02","*"
"312","Trefoil","01919.90","*"
"314","Tung tree","01499.02","*"
"317","Turnip, for fodder","01919.90","*"
"318","Urena (Congo jute)","01922.02","*"
"32","Blueberry","01355.01","*"
"320","Vetches","01709.01","*"
"38","Broom millet","01919.01","*"
"39","Broom sorghum","01919.01","*"
"44","Cabbage, for fodder","01919.90","*"
"49","Cardoon","01219.90","*"
"52","Carrot, for fodder","01919.90","*"
"54","Cassava (manioc)","01520.02","*"
"54","Cassava (manioc)","01219.01","*"
"54","Cassava (manioc)","01520.01","*"
"58","Celery","01290.90","*"
"59","Chayote","01239.90","*"
"60","Cherry","01344.02","*"
"68","Citronella","01930.90","*"
"69","Clementine","01324.02","*"
"71","Clover for fodder (all varieties)","01919.03","*"
"77","Cola nut (all varieties)","01379.02","*"
"79","Corn (maize) for cereals","01290.01","*"
"81","Corn (sweet) for vegetable","01290.01","*"
"82","Corn for salad","01219.90","*"
"83","Cotton (all varieties)","01921.01","*"
"83","Cotton (all varieties)","01921.02","*"
"84","Cottonseed (all varieties)","01921.01","*"
"87","Cranberry","01355.02","*"
"88","Cress","01219.90","*"
"9","Areca (betel nut)","01379.01","*"
"90","Currants (all varieties)","01351.01","*"
"96","Durra (sorghum)","01919.01","*"
"98","Earth pea","01709.90","*"
